Pesticide_use,Avg_temperature,Avg_rainfall,Year,Crop_yield,Area_used
121,25.58,327,1961,2000,1254
121,25.52,327,1962,1,2
121,25.67,327,1963,321,102
121,,327,1964,641,176
201,,327,1965,165,720
251,,327,1966,65100000,18168
313.96,,327,1967,100,36
376.93,26.28,327,1968,2,1
439.89,25.17,327,1969,15,5
502.86,25.49,327,1970,169,40
565.82,25.92,327,1971,2061,1254
628.79,25.46,327,1972,1,2
691.75,25.67,327,1973,300,83
754.71,25.17,327,1974,192,719
817.68,,327,1975,64430000,18190
880.64,,327,1976,100,46
943.61,,327,1977,1,1
1006.57,,327,1978,33,11
1069.54,,327,1979,510.84,189.2
1132.5,,327,1980,2083,1258
1311.17,,327,1981,1278,213
1302.63,,327,1982,13.5,63
766.25,,327,1983,208,719
982.32,,327,1984,67490000,18240
1365.34,25.62,327,1985,28.8,413
1300.84,25.68,327,1986,133,47.3
1419.44,25.25,327,1987,40,5
1828.92,25.14,327,1988,90.17,52
2461.8,25.85,327,1989,1525,1261
1215.47,25.87,327,1990,1763,266
1021.89,25.38,327,1991,15.86,75.5
1255.02,25.96,1485,1992,208.5,717
2697.09,26.07,1485,1993,68580000,18284.74
479.77,25.69,1485,1994,102,60
401.22,26.13,1485,1995,326.4,102
322.84,26.37,1485,1996,0.3,4.2
654.45,26.07,1485,1997,72.57,52.94
603.67,25.47,1485,1998,805.85,1264.7
710.11,24.91,1485,1999,404.12,66.42
816.55,24.95,1485,2000,15.86,85
922.99,25.12,1485,2001,197.9,683.5
3747.86,24.86,1485,2002,52380000,18394.7
3662.87,25.11,1485,2003,145.2,60
4110.72,25.17,1485,2004,366,118
5390.79,25.33,1485,2005,0.11,1
11556.12,25.04,1485,2006,12.06,2.09
3867.99,25.37,1485,2007,,795.67
1295.88,25.33,1485,2008,582,22
13861.76,25.64,1485,2009,0.1,41
17379.76,25.47,1485,2010,55.8,450
17278.65,26.46,1485,2011,52030000,13876.57
14258.22,26.12,1485,2012,,17
14258.22,25.92,1485,2013,70,10
14258.22,25.59,1485,2014,477.6,896
64,25.48,1485,2015,976,198
79,25.24,1485,2016,0.68,22.16
23,25.78,1485,1961,85.13,450
169,26.08,1485,1962,59370000,14358
25.5,25.69,1485,1963,9,3
336,25.8,1485,1964,21,6
40,25.57,1485,1965,0.5,0.2
40,25.7,1485,1966,86,18
40,25.41,89,1967,450,52.03
40,26.42,89,1968,1.03,2.5
40,26.33,89,1969,10,3.5
40,26.28,89,1970,41.75,13.4
40,26.29,89,1971,1610,944
40,26.13,89,1972,8.5,23
40,26.47,89,1973,260.5,1000.5
40,25.93,89,1974,25,12
40,26.19,89,1975,9.64,7
40,26.32,89,1976,18.22,3.84
40,26.42,89,1977,1.1,1.5
40,26.23,89,1978,208,22
40,25.96,89,1979,0.5,2
40,26.09,89,1980,1.16,1.5
40,26.09,89,1981,3425,593
40,26.79,89,1982,71300000,14560
40,26.23,89,1983,575,69
40,26.16,89,1984,5200,3100
40,26.5,89,1985,448,668
7.52,26.39,89,1986,31863,10779
7.52,26.44,89,1987,12073,1531
7.52,25.81,89,1988,54,80
7.52,26.55,89,1989,23900000,6992
7.52,26.38,89,1990,1120,352
7.52,26.15,89,1991,55,133
7.52,25.88,89,1992,3736,141
7.52,26.54,89,1993,843,78
7.52,26.53,89,1994,2108,160
7.52,25.84,89,1995,5239,3100
7.52,26.61,89,1996,199,418
7.52,26.77,89,1997,27033,9718
7.52,26.34,,1998,33,81
7.52,26.06,,1999,25250000,7015
7.52,26.56,,2000,1124,344
7.52,26.52,,2001,2379,81
7.52,26.25,,2002,5,100
7.52,26.37,,2003,18995.62,6854.3
7.52,26.15,,2004,3011.7,1160
7.52,26.51,,2005,8582,957.57
7.52,26.2,,2006,191.14,175
39.26,26.32,,2007,44,40.5
31.5,26.28,,2008,15400000,3575
28.3,26.24,,2009,824.3,235.72
27.47,26.01,,2010,929,98.66
26.64,26.03,,2011,21.4,35.62
26.64,25.9,,2012,1500,71.3
26156,26.28,,2013,240,30
26156,26.19,,2014,1420,255
26156,26.39,,2015,408,68
26156,26.36,,2016,20118,6791
30195,26.25,,1961,889.2,73.33
37842,26.19,,1962,2290,1296
54595,26.55,,1963,90.8,294.5
77691,25.96,,1964,13.5,168
62397,25.97,,1965,39,84.5
62831.39,26.45,,1966,402,254
63265.78,26.05,,1967,1011.84,110
63700.17,26.29,,1968,6.8,4.75
64134.56,26.55,,1969,96.4,86.7
64568.95,26.51,,1970,556.55,1168.6
65003.34,26.1,,1971,1.9,2.9
65437.73,26.28,,1972,480,109
65872.12,26.8,1010,1973,376.5,68
81582.64,26.21,1010,1974,458.79,1059.5
87149.01,26.12,1010,1975,7968,657
61586.56,25.84,1010,1976,12700000,3668
105915.04,26.4,1010,1977,1355,186.5
100424.62,26.16,1010,1978,31600.82,10695.8
136185.08,26.67,1010,1979,5267,3105
171945.54,26.47,1010,1980,10882,1524
207706,26.43,1010,1981,102.5,487
207706,26.17,1010,1982,24,81
207706,26.66,1010,1983,26830000,7060
8,26.64,1010,1984,20.9,239
8,26.3,1010,1985,1145,352
23,26.35,1010,1986,40.31,85.1
23.9,27.26,1010,1987,13760,455
32,26.78,1010,1988,30760.7,10509.37
41.46,26.65,1010,1989,5182,3118
50.92,26.6,1010,1990,11558,1530
60.38,26.52,1010,1991,104.37,497
69.85,26.36,1010,1992,26.14,116.5
79.31,26.56,1010,1993,26660000,7110
88.77,26.57,1010,1994,578,340
98.23,26.87,1010,1995,1299.2,406
204.77,26.58,1010,1996,35.51,82.09
220.51,26.54,1010,1997,2879.52,268
227.55,27.16,1010,1998,29119.66,10681.98
241.71,26.7,1010,1999,3975.2,3160.67
218.2,26.75,1010,2000,17374.4,1912.1
198.36,26.69,1010,2001,104.36,570
278.72,26.84,1010,2002,25.1,116.5
278.72,27.05,1010,2003,34750000,7156.7
278.72,26.99,1010,2004,822.8,340
278.72,26.98,1010,2005,1462,410
278.72,26.99,1010,2006,46.5,89.3
278.72,27.01,1010,2007,1560,145.26
278.72,26.94,1010,2008,25870.98,8683.38
17866,26.98,1010,2009,3058.46,3250.78
17866,27.45,1010,2010,10251.13,1656.8
22234,27.02,1010,2011,35.95,656.45
23899,26.77,1010,2012,30.22,118.5
21057,27.23,1010,2013,26430000,7050.45
25598,26.04,1010,2014,877.6,370.7
31185,26.26,1010,2015,1800,200
34091,,1010,2016,34.2,53.55
37215,,1010,1961,2448.2,128.02
34200,,1010,1962,700.35,131.9
33475,25.83,1010,1963,1480,254.5
32710,26.01,1010,1964,572,81.7
26651,25.69,1010,1965,2539.64,921.87
32418,26.25,1010,1966,2350,2000
36276,,1010,1967,4150,483
34310,,1010,1968,20.18,413.1
35900,,1010,1969,26,79.5
32446.25,,1010,1970,14190000,3483.09
42935.38,,1010,1971,34.7,124.6
38065.68,,1010,1972,900,100.9
42169.39,,1010,1973,14.98,24
47632.99,,1010,1974,999.5,53.5
48687.88,,1010,1975,220,30.4
45177.18,25.1,1010,1976,160,40
49857.36,25.34,1010,1977,60,10
50921.6,23.62,1010,1978,3788,1595.5
50921.6,26,1030,1979,402,67.5
4246,26.26,1030,1980,1900,1912
4487,26.09,1030,1981,13.2,20.5
3897,26.44,1030,1982,98,409
3984,26.33,1030,1983,10.5,15
3619,26.51,1030,1984,148,128
3402,26.24,1030,1985,828.52,94
3565,26.17,1030,1986,7.6,15.5
3689.6,26.16,1030,1987,253,73
3340.3,26.42,1030,1988,17.85,29.9
3418.6,26.3,1030,1989,0.5,1
3563.2,26.13,1030,1990,235,32
3132.2,26.19,1030,1991,105,10
3079.2,26.59,1030,1992,15.05,34
3384.9,26.59,1030,1993,5517,360
3301.7,26.09,1030,1994,11000000,3540
3404,26.2,1030,1995,220,22.5
3415.7,26.75,1030,1996,2600,21400
